,Text,Cluster
1335571474283974658,RT @realDonaldTrump: And getting a total pass from the media!,0
1335571474564919297,RT @JudicialWatch: Judicial Watch announced it filed a #FOIA lawsuit in the U.S. District Court for the D.C against the U.S. Department of…,2
1335571474581581826,"RT @haetbithyun: Idols who vote for skz stage: Treasure Bang Yedam, Cravity Hyungjun, Taeyong, Seongmin, txt Yeonjun, Gfriend Yuju, Lovelyz…",2
1335571474598465537,"RT @EmeraldRobinson: What's sad is that @JedediahBila gets her ""facts"" from two sources: TMZ and the DNC.",2
1335571474908844032,RT @brokojo: Weighing card,2
1335571474913038338,"RT @SouthPottsBLP: .@CllrTonyK will be a fantastic Police, Fire and Crime Commissioner. Not only is he highly qualified, he cares about the…",2
1335571474955046914,RT @janemaestro: Kash Patel can take his permission and shove it in 46 days.,2
1335571475126833152,RT @tonyposnanski: Trump literally asked a Trump supporting governor to overturn an election based on absolutely nothing and not one...not…,0
1335571475223486465,RT @TeamTrump: President @realDonaldTrump: “If you don’t vote. The socialists and the communists win.” https://t.co/VLhaX0iKKa,0
1335571475957346304,"RT @andwerth: If you plan to wear a mask for the first 100 days of the Biden presidency like I do, follow me and I’ll follow you back!",0
1335571476058083328,RT @Repulican4U: 🇺🇸We vets have done our job over the last four years. No attacks on our land and and Trump never put us in harms way by se…,0
1335571476129452032,RT @CREWcrew: Spoiler alert: it’s the grift. https://t.co/r7OlDoIOuw,2
1335571476167020545,"I vote #SamikshaJaiswal for #BahuBegum as #Noor 
#TvPersonalityWithRajBaddhan

@RajBaddhan @BizAsia @SabrasRadio @Sam2111995
3570",1
1335571476272074752,"Trump Has 258,000 Watching His Rally on RSBN -- Or 258 Times More Viewers than Joe Biden's Thanksgiving Speech - The Most Popular Democrat In Universal History https://t.co/YxdCNIw4re via @gatewaypundit",0
1335571476381110272,"@nickelsimp You BETTER vote me! Or, or, I'll CRUSH you!",2
1335571476624322560,RT @latimes: Op-Ed: Why so many people want to believe the election was stolen (via @latimesopinion) https://t.co/uVjLnc5dF3,0
1335571476716662784,@catturd2 You can use your vaccine id as proof to vote.,2
1335571477001715712,"RT @adjunctprofesor: Americans come together to take a stand against fraud!

Watch ""LIVE: Trump Holds 'Victory Rally' in Valdosta, Georgia…",0
1335571477073186816,"RT @Raiklin: MAJOR UPDATE TO TIMELINE! Read carefully.

Dec 6-14 we need to apply maximum pressure on state legislatures of GA,WI,AZ,MI,PA…",0
1335571477232488448,"RT @surbhiyat: I Vote #SurbhiChandna for Naagin5

#TVPersonalityWithRajBaddhan

@RajBaddhan @SabrasRadio @BizAsia

1RT= 1Vote https://t.co/…",1
1335571477387649024,"RT @jeonbubbles: 10 MINUTES TIL THE TWITTER VOTING CLOSES, PLEASE VOTE !!

#MAMAVOTE #bts @BTS_twt",2
1335571477442289664,RT @PhilipRucker: Thanks for asking! You can find the full list and data from the Washington Post’s exhaustive survey right here: https://t…,2
1335571477459054592,"""...its coming from inside the house!"": https://t.co/kU0J1s96qh",2
1335571477463175171,RT @janekin24: Finally MSM reveal the truth! No evidence eh @afneil ! There loads of it. Trump won. Biden vote fraud claims hit ONE MILLION…,0
1335571477668614144,"RT @realDonaldTrump: ***Live Updates*** Trump Holds Georgia Rally for Sens. Loeffler, Perdue https://t.co/Z6XZYeCO16 via @BreitbartNews. A…",0
1335571477702316035,"RT @AdamSchiff: Let’s make this clear:

Donald Trump lost. By a lot.

And in defeat, Trump could care less about a worsening pandemic and s…",0
1335571477794611201,"RT @gatewaypundit: WATCH: Multiple Brawls Break Out Between Trump Supporters and Antifa in Olympia, Militant Leftist Puts Out Desperate Cal…",2
1335571477941411842,"But it wasnt widespread.

No, its overwhelming incontrovertible evidence of voter fraud. This is all illegal but under the illegal consent degree @GaSecofState entered into w Stacey Abrams, the safeguards for ensuring a free &amp; fair election were removed illegally. 
#Bent4Biden https://t.co/zQyQxZi50t",2
1335571478226546689,RT @anonpatriotq: Call your legislators! #FightForTrump,0
1335571478432124929,RT @charliekirk11: Every Republican should oppose S.386/H.R.1044 - which is a big tech/big data immigration handout that will severely hurt…,2
1335571478704603138,H.A. Goodman: Trump Reclaims Victory Instantly with Kanye West Signature Affidavits that Dems Gave to State Boards! https://t.co/Mzx6uPFwJA @RudyGiuliani @SidneyPowell1 @LLinWood @marklevinshow @realDonaldTrump @kanyewest #birthdayparty  #Trump2020NowMoreThanEver #BidenCheated,2
1335571479061291009,RT @LLinWood: Truth.,0
1335571479090647042,RT @WithForethought: This reporter is actually doing investigating!! We should all be following him cause he's right in the middle of the v…,2
1335571479166132224,RT @gtconway3d: This is so deeply surprising,2
1335571479178715141,"RT @realDonaldTrump: 25, wow! I am surprised there are so many. We have just begun to fight. Please send me a list of the 25 RINOS. I read…",0
1335571479199531008,"RT @IntBLACKPINK_PH: BLINKs! Attack!
Retweet and reply as many as you can🔥

I vote #LISA from #BLACKPINK @BLACKPINK for #6thBousnidStars202…",2
1335571479237455872,RT @JoyAnnReid: The Georgia question is incredibly simple. Either President Biden gets his agenda through with a Democratic Senate; meaning…,0
1335571479354863616,RT @DAColdriver: @RudyGiuliani Lady Ruby the ballot stuffer and her daughter Shea Shea with the blonde braids. #rubyfreeman https://t.co/JN…,2
1335571479585546240,Getting paid by Zuckerberg follow the money https://t.co/Rl3Z5LYjwt,2
1335571479640109057,"RT @dbongino: It’s Sunday, December 6th 2020, and the Obama/Biden administration was the most corrupt in US history.
#Obamagate",0
1335571479669436416,RT @thebradfordfile: Fox News is broadcasting the Trump rally. But it's too late. The loyal customers who built their network have moved on.,0
1335571479862251528,RT @AliVelshi: This week Obama described #DefundthePolice as a “snappy slogan” that’s been counterproductive to Dems’ goals. Can Biden brin…,2
1335571479979704323,"RT @BernardKerik: Democratic Party and @JoeBiden engaged in criminal conduct to steal the election, but should @realDonaldTrump lose, it wi…",0
1335571480017592322,"RT @MSNBC: .@MaddowBlog: If Pres. Trump believes Sen. Romney was “slaughtered” and “destroyed” in 2012, which words would he use to describ…",2
1335571480357130241,RT @acejooheon: tbh im happy they got best stage award bc thats an award give my industry professionals and not fan vote. an award purely b…,2
1335571480600432641,"RT @mellifluous__98: It's my game😎

I vote #VishalVashishtha for Ishq Mein Marjawan 2 

#TVPersonalityWithRajBaddhan

@BizAsia @SabrasRadio…",1
1335571480680206337,RT @RexChapman: While Trump is in Georgia tonight campaigning and attempting to overturn an election stand-offs are happening again in Minn…,0
1335571480701251584,"RT @EmeraldRobinson: The GOP has both houses in Georgia.

The governor is GOP. The secretary of state too.

And they're all finished in pol…",0
1335571480717963264,"RT @CBS_Herridge: Trump campaign aide had NOT been a source for CIA, “defendant's offense was a very serious one with significant repercuss…",2
1335571480722219010,RT @newsmax: President Trump shows clip of Newsmax TV's Grant Stinchfield and his bombshell investigation. @stinchfield1776 https://t.co/Vl…,0
1335571480827064322,"RT @trinareyes: ⁦@johnpodesta⁩ met with Dominion in the 2016 election and in on the steal

Dominion machines were the caveat for the #2020S…",2
1335571481158320129,"RT @LDknepper: GA: Trump Supporters Rip Into Fox News Reporter Griff Jenkins...""Traitors!""...""We trusted you!” [VIDEO] via @gatewaypundit h…",0
1335571481158356994,CNN reports Smartmatic VOTE FRAUD https://t.co/seOlE3kJKa via @YouTube,2
1335571481284255744,"I vote #SurbhiChandna for Naagin5 
#TVPersonalityWithRajBaddhan 
@RajBaddhan @SabrasRadio @BizAsia https://t.co/pMVWiOljdx",1
1335571481359736832,@Scattered211 I vote for both...equally.,2
1335571481435238402,RT @gracesaldanaa: “Fight for Trump!” Let’s get it trending! #FightForTrump https://t.co/23Z5Tge8ji,0
1335571481435271170,RT @gatewaypundit: BOOM: President Trump Is On Target In Wisconsin - Ballots Identified in Pristine Condition Similar to Fraudulent Ballots…,0
1335571481447698439,RT @A_TruthWarrior: Doesn't matter if you don't like Trump. The issues the Democrats stand for are abominations to the Holy Creator &amp; come…,0
1335571481510731777,"RT @BillKristol: What Trump's attempting isn't a putsch, which implies a violent overthrow of the government. It's not a conspiracy, which…",2
1335571481783222273,"RT @ENHYPENVT: ENGENES as you heard the word &lt;BEST NEW MALE ARTIST&gt; we need your competitiveness and let's all vote ENHYPEN for ""The Show""…",2
1335571481808527362,And the dems are saying Trump is trying to steal the election... 😂😂😂 https://t.co/dXcRYx33oo,0
1335571481917460481,RT @bresconOH: @TrevorJHawkins1 @ChuckCallesto and what's wrong with all those parameters?  shouldn't those things HAVE to be correct for a…,2
1335571482039218181,RT @stillgray: I’ve been curious about all the so-called “pro-Trump” people who are telling Republicans not to vote in the replies of conse…,2
1335571482097807362,"RT @Ratel68167809: I vote #SurbhiChandna for Naagin5 

#TVPersonalityWithRajBaddhan 
@RajBaddhan

@SabrasRadio

@BizAsia ft;:/)(",1
1335571482160803842,"RT @Fatiha44383350: I vote #SurbhiChandna for Naagin5 
#TVPersonalityWithRajBaddhan 
@RajBaddhan @SabrasRadio @BizAsia https://t.co/JilUHO0…",1
1335571482169241602,@MichaelBennet When Trump tells you that ARITHMETIC IS FAKE MATH what will you do? How can you be a US Senator and  NOT publicly assert that Biden won the election?,0
1335571482290900992,RT @MSmithsonPB: Fox News takes on Trump’s Attorney General for not backing the lie about Trump’s defeat being a based on fraud,0
1335571482290909185,"@Marie4Congress These are the Clowns you Brainwashed people vote to put into Congress, looks more like she wants to run for a Fashion Show.",2
1335571482307567619,"RT @Judson4Congress: In recognition of Trump*s frequent boasts about being a ""War Time President"", the WH graciously invites you to their v…",2
1335571482441871360,"RT @ksorbs: We have video proof of ballot fraud and election tampering, as well as poll workers admitting to such, things under oath, and t…",0
1335571482676781057,"RT @prayingmedic: Watch @gregrharvey's broadcast: President Donald Trump Rally LIVE in Valdosta, GA / #StopTheSteal #Trump2020Landslide htt…",0
1335571482701934594,"Trump: 'They're Going to Try to Rig This Election, Too'

https://t.co/pETjYIPuHH",0
1335571482781618177,RT @robreiner: This can’t be stressed enough: Trump is out of his fucking mind.,0
1335571482869702657,"RT @KaraMar111: .U R a true Patriot @LLinWood!❤But, GEORGIA u must get out &amp; VOTE! @realDonaldTrump is 100% correct! We in Cali had a split…",0
1335571482936807425,"RT @kaira_aadatein2: I vote for #ShivangiJoshi from #YEHRISHTAKYAKEHLATAHAI for #TVPersonalityWithRajBaddhan 
@BizAsia @RajBaddhan @SabrasR…",1
1335571483066830858,RT @TheTRUMPTRESS: Why do you think 12 states give ILLEGALS drivers licenses? And why Dems want open borders &amp; Sanctuary cities?? Because t…,0
1335572511346536449,"@JohnCornyn Socialists are taking over our country with a fraudulent election because congress can't enforce existing laws to make them honest.

You are trying to deflect from this message.

I voted for you, but will vote against you &amp; any one not fighting the socialists.",0
1335572511430479872,RT @BerniceKing: Abolish the death penalty.,2
1335572511434526720,"RT @Ilaydaprincesse: I Vote #SurbhiChandna for Naagin5

#TVPersonalityWithRajBaddhan

@RajBaddhan @SabrasRadio @BizAsia

Rooting for @Surbh…",1
1335572511610834948,RT @Frankie040708: “Sidney Powell: “In GA massive evidence of the shaving of votes &amp; flipping to Biden exists in the machines. They’ve been…,0
1335572511648489474,"RT @nitiya281093: @RajBaddhan @SabrasRadio @BizAsia 

I vote #AshiSingh for #AladdinNaamTohSunaHoga #TVPersonalityWithRajBaddhan 4##5 https…",1
1335572511673765888,RT @HiiiPow3r: POTUS made a “mistake” by saying June 5th instead of Jan 5th at his rally tonight. DOQ caught the vibes. 😎🇺🇸🦅,0
1335572511698923520,"It's like we should add Ozo and Nengi to the ballot paper tomorrow 🇬🇭🇬🇭🗡⭕🗡
#OzoneXJennysGlow #OzoneXJennysGlow https://t.co/jPpa6TdcpG",2
1335572511740862466,RT @XArmandKleinX: Breaking News‼️Arizona's  Legislative Leaders Are Now Calling For An Audit of Maricopa County's Dominion Election Softwa…,2
1335572511774355460,"RT @Lrihendry: Being reported in GA, 10,315 voters died before the election, 66,248 were under the age of 18 and 40,279 people changed coun…",0
1335572511858315272,RT @GoBulldogs22: Vile and disgusting! We are such a depraved society! And ppl have issues with #Trump calling a spade a spade ♠️?! Get out…,2
1335572512038641664,"RT @TrumpsPrettyWo2: 🇺🇸🚩
IF YOU VOTED FOR A SNAKE THE FIRST TIME
WHY VOTE FOR
SATAN THE NEXT TIME ❓❓ https://t.co/slUcZJf8Av",2
1335572512428724224,RT @JoyAnnReid: The Georgia question is incredibly simple. Either President Biden gets his agenda through with a Democratic Senate; meaning…,0
1335572512525217792,Thank you https://t.co/AECUNgIW7W,2
1335572512583905282,"RT @DonotInnovate: @KristenhCNN Dear Media,
Don’t let the clown-like characters &amp; behaviors mask these insanely dangerous &amp; anti-American a…",2
1335572512831311872,RT @GenFlynn: .@Raiklin continues to do amazing analysis on the state of play in our election process. His chart is well worth studying.…,0
1335572513196224513,"RT @shell_zipi: Xu Wenli, “China’s most prominent prisoner,” who was jailed for 16 years because he had proposed to end the single-party sy…",2
1335572513200410624,@CNNPolitics Trump and the republicon confederate domestic terrorist party still pretending they are Americans??? https://t.co/F3vWaeF8b4,2
1335572513334513667,yeah its pity awards https://t.co/GWUqHyEDZn,2
1335572513435291649,RT @realDonaldTrump: The answer to the Democrat voter fraud is not to stay at home - that’s what Pelosi and Schumer want you to do. If you…,0
1335572513506664449,RT @streetglide12: The country isn’t turning or trending blue as the Criminals on the left want you to believe. If it was trending blue the…,2
1335572513523265536,"@RajBaddhan @SabrasRadio @BizAsia 

I vote #AshiSingh for #AladdinNaamTohSunaHoga #TVPersonalityWithRajBaddhan 7##8 https://t.co/Zh0AYJ2mvb",1
1335572513527652352,"RT @LadyRedWave: You’re an idiot @AdamSchiff 
 No-no matter how much you &amp; your cohorts incl #CCP #MSM #NWO &amp; whoever else wants to take Am…",2
1335572513557012480,"RT @HNHughson: @Teri_Kanefield Trump's grandfather made his money during the Klondike gold rush not by mining gold or selling goods, but by…",2
1335572513590566913,RT @Apoctoz: Surfaced footage: Joe Biden &amp; Dominion tech https://t.co/C2r58WtCIq,0
1335572513712197633,RT @CodeMonkeyZ: Ill put out info as we get closer to the runoffs about how poll watchers can help keep the dominion representatives honest.,2
1335572513724645376,.@RepPeteStauber .@RepGosar If .@JoeBiden does become president we all know that copper nickel mining in NE MN &amp; copper mining in Az will be under attack. The progressive enviro nuts see this as their opportunity to crush responsible mining. Don't let it happen. @MinnesotaMiners https://t.co/y5Cj69p7JI,2
1335572513829445632,RT @themarketswork: Hope @GOP was listening...,0
1335572513930227713,"So Biden (78) is too old in 2020 to complete a 4 year term, but in 2024 Trump (78) will make a comeback and will have no issues? Hmm https://t.co/DfSR9GGdmp",2
1335572514035134464,"RT @DGPurser: In Fulton County Georgia, at Philips Arena, beginning at the time the counters and observers were told to leave, the cheaters…",2
1335572514181947393,"#MAGAIsCancelled, please go back to your 2015 existence in the shadows. America will be better w/out your hateful vitriol https://t.co/XGli3fgQow",2
1335572514190336001,RT @CBSNews: Biden officially secures Electoral College majority after California certifies votes https://t.co/8E441T5RWX,0
1335572514240671744,"RT @dbongino: It’s Sunday, December 6th 2020, and the Obama/Biden administration was the most corrupt in US history.
#Obamagate",0
1335572514257375232,"RT @proxcee: ""Now is NOT the time to retreat!""  -  Donald Trump",0
1335572514265845763,RT @LLinWood: I agree with Karl.,2
1335572514307788809,@DanStevens1103 Hey Dan Stevens no matter how much you bitch and complain Donald Trump has not won reelection and on January 20 Joe Biden will be inaugurated. Enough votes have been certified to put Joe Biden over 270 already.,0
1335572514328612864,"RT @Mishbir18132422: I vote for #RheaSharma for Yeh Rishtey Hain Pyaar Ke #TVPersonalityWithRajBaddhan 
@SabrasRadio

@RajBaddhan

@BizAsia",1
1335572514362302464,Non-Ameican devilcrats belong in CAGES... https://t.co/S0B9COXQ5w,2
1335572514362322945,"@theangiestanton @9NEWSNANCY Subsequent to your posting President Trump requested us to vote. Hence, there is only one thing MAGA patriots need to do and that is:

Cut the rhetoric and VOTE",2
1335572514395873280,"RT @natemax: @TheRickWilson That is the understatement of the year.

https://t.co/gpssWey2bH",2
1335572514622242819,"RT @PoopJudge: BREAKING: The fight for tRUMP is over. Deal with it. 
#MAGAIsCancelled https://t.co/zBhHoZ2BKX",0
1335572514718748672,"RT @marceelias: 🚨🚨BREAKING: Wisconsin Supreme Court DENIES application by conservative group to invalidate results of the election.

Trump…",0
1335572514718830593,"I vote #SurbhiChandna for Naagin5 
#TVPersonalityWithRajBaddhan 
@RajBaddhan @SabrasRadio @BizAsia https://t.co/EJ8p5Y4Ugo",1
1335572514777554945,"Saw that woman on the news yesterday who voted in person, and they didn't ask her for her ID, and when they looked up her name, they told her she had already voted! https://t.co/y7sbuC8TnG",0
1335572514802720769,RT @joshtpm: We need to start understanding that these are quite literally crimes. If you call up the vote counter and tell him to change t…,2
1335572514823659520,"RT @newtgingrich: The Los Angeles Mayor, a Democrat of course, has now banned walking. Will the dictatorial pettiness of these elected tyra…",2
1335572514861355010,"RT @kurteichenwald: Anyone who doubts that Trump would, if he could, dispatch the military, arrest Biden, Harris, Kemp et. al., shut down C…",0
1335572514907557889,"RT @HenockYebyo: Erik Prince masterminds #UAE's mercenary mission to Tigray, backing #AbiyAhmedAli &amp; #IsaiasAfeworki. #DonaldTrump administ…",2
1335572514978877446,RT @GhostOf177Six: Trump rally in Georgia was INCREDIBLE! .@RealMattCouch .@Annakhait .@realDonaldTrump https://t.co/Abwd9Hxrbo,0
1335572515083739136,"RT @dbongino: It’s Sunday, December 6th 2020, and the Obama/Biden administration was the most corrupt in US history.
#Obamagate",0
1335572515113095168,"RT @charliekirk11: Joe Biden only won 17% of American counties yet somehow garnered over 80 million votes and “beat” Trump?

For perspectiv…",0
1335572515129872386,RT @realDonaldTrump: Great job Dan. People are watching!,0
1335572515289182209,"@Project_Veritas @zaicyn @Google President Trump has proven beyond a reasonable doubt that massive election fraud was committed across America!!

I'm 1,000% in favor of President Trump declaring Martial Law and immediately holding a new Federal Election!!

In America when you're right you FIGHT!!!!!",0
1335572515347968000,RT @ScriberrNews: HAPPENING NOW: Trump supporters protest in #HuntingtonBeach against Newsom‘a stay at home orders &amp; the projected election…,0
1335572515352178696,"#Ivanka #TrumpIsALaughingStock #TrumpMeltdown #TrumpRally #Trump2020 #TrumpRallyFriends #trump #GOPBetrayedAmerica  #GOPComplicitTraitors #GOP #GOPCorruptionOverCountry #WeirdoTrump #WeirdoTrumps #WhiteHouse #EpsteinIsland #USA
CREEPY-#pardons “I wish her well“ #GhislaineMaxwell? https://t.co/KxY92YS3ns",2
1335572515364753409,"RT @Rozkez67: Never forget, not ONE Remainer is responsible for anything that is about to happen. 

We are not responsible because we didn'…",2
1335572515427512321,"RT @NidhiPr62181707: I vote #ParamSingh for #Haiwaan
#TVPersonalityWithRajBaddhan
@RajBaddhan 
@SabrasRadio 
@BizAsia
Two hundred fourty on…",1
1335572515800952832,"RT @sarahgoughy: Fox News journalists are getting the most abuse from the crowd lining up for Trump’s rally in Valdosta, Georgia. Cries of…",0
1335572515809275904,Thats Our GREAT PRESIDENT TRUMP https://t.co/Rygkie00i2,0
1335572515826110467,RT @funder: Perdue and Loeffler were both not wearing mask on stage and both gave Trump a fist bump. Another reminder that no one should vo…,0
1335572515876323329,"RT @swasan_fan: I vote #HellyShah for Ishq Mein Marjawan 2
#TVPersonalityWithRajBaddhan 

@RajBaddhan @BizAsia @SabrasRadio
Two Thousand si…",1
1335572515939291136,RT @iaboyeji: Very interesting reactions from young people who refused to vote in the #LagosByeElections. The voter apathy will be interpre…,2
1335572516069208064,"RT @TXW1N: gue kepo

- like if you think i’m nice. 
- rt if i’m one of ur fav moots. 
- reply if u think i’m friendly. 
- vote if u have /…",2
1335572516363001856,RT @realDonaldTrump: And getting a total pass from the media!,0
1335572516472049666,"RT @FIFAcom: 💨 Does Son Heungmin's incredible solo goal have your vote for the #Puskas Award? 🇰🇷

#TheBest | #FIFAFootballAwards | @theKFA…",2
1335572516543197187,"RT @Fatiha44383350: I vote #SurbhiChandna for Naagin5 
#TVPersonalityWithRajBaddhan 
@RajBaddhan @SabrasRadio @BizAsia https://t.co/vgh3TvI…",1
1335572516560121856,"RT @CollinsforGA: When will @JoeBiden condemn these violent attacks?

Where is his message of healing and unity now?
https://t.co/fHNCTKC7Ud",2
1335572516782346240,"RT @MoRRiSon_EvanCe: Leicester = WEH
Tottenham = 1X &amp;  Under 3.5
Liverpool = Win &amp; Under 4.5
Lille vs Monaco = 12
Roma = WEH
💯💪💯💪 
If it tu…",2
1335572516782411777,"RT @GucciFara: #Promote_BA_BSc_Students 
There is a worst education system in pakistan who destroy thier students future honestly
@ImranKha…",2
1335572516945870848,"RT @Pink_About_it: Trump is an anomaly, because he didn’t run because of politics or money —- 

He ran because love of country,  in a time…",0
1335572517008846850,"RT @JamesBryantFL: @RL9631 It really sounds ridiculous to mention ""Biden"" and ""intelligence"" in the same sentence.....",2
1335572517277331457,RT @GeorgePapa19: Signature verification. ID to vote. Minimum requirements for votes. Why the pushback against in Georgia?,2
1335572517508050945,RT @realDonaldTrump: And getting a total pass from the media!,0
1335572517902311424,@SenatorBraun When Trump tells you that ARITHMETIC IS FAKE MATH what will you do? How can you be a US Senator and  NOT publicly assert that Biden won the election?,0
1335572518208475138,"RT @Lrihendry: Being reported in GA, 10,315 voters died before the election, 66,248 were under the age of 18 and 40,279 people changed coun…",0
1335572518225268736,"Joe WAS EXCOMMUNICATED 👹👹👹👹👹👹👹👹
ALL FOR SHOW........HE SUPPORTS MURDER👹🐀🐍🦨💩 https://t.co/EWBehboU3L",2
1335572518263017473,RT @TexanAlliKat: Yo Joe we have been wearing masks for almost 9 months how is your 100 day plan going to change anything.  You will never…,0
1335572518359457795,RT @YossiGestetner: FBI Wray unleashed more agents and at a quicker pace to check out a garage pull down (“noose”) then he did to any of th…,2
1335572518489481217,"RT @dbongino: It’s Sunday, December 6th 2020, and the Obama/Biden administration was the most corrupt in US history.
#Obamagate",0
1335572518539833349,So enforcing the law is vindictive now https://t.co/mhmh2Ac4iA,2
1335572518594355206,"RT @ColumbiaBugle: One Of The Most Powerful Moments In @realDonaldTrump Rally History 

“FIGHT FOR TRUMP! FIGHT FOR TRUMP!” https://t.co/Qn…",0
1335572518803914752,"@Science_Pharma @SkyNewsAust @realDonaldTrump The suitcase things are bullshit. They are vote storage bins used to hold votes, and when challenged in court they had paper trails that demonstrated that they where legitimate votes.",2
1335572518904754178,"@FiveJoey @RutoTheHero @you_are_racist_ @MarcherLord1 @SpaceForceUSA_ @hodgetwins I respect your opinion but please don't lecture me about trump being a saviour, I could go on forever about how much of a bad person he is for minority communities, thanks for the chat but I'm not in the mood to be lectured",2
1335572518908858368,"RT @dbongino: It’s Sunday, December 6th 2020, and the Obama/Biden administration was the most corrupt in US history.
#Obamagate",0
1335572518913126400,"RT @VoteTrumpPics: FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TRUMP!

FIGHT FOR TR…",0
1335572518992814091,"RT @andwerth: If you plan to wear a mask for the first 100 days of the Biden presidency like I do, follow me and I’ll follow you back!",0
1335572519114469376,RT @realDonaldTrump: And getting a total pass from the media!,0
1335572519122857990,"RT @DrPhilipMN: Please note my recently published article on ""Economic Equity for the working and Middle CLass"" published on Biden School w…",2
1335572519429017601,RT @RonnyH91x40: @OzRestored @DawnDavies11 Our President has been basically abandoned by the Republican Party but not the AMERICAN PEOPLE W…,0
1335572519554854912,@KamalaHarris @JoeBiden Well y’all locked us down with no money so,0
1335572519571648513,"RT @Jim_Jordan: Durham confirms what we already knew. 

James Comey’s FBI was out to get President Trump.",0
1335572519659638784,"RT @mmpadellan: While trump is destroying Loeffler &amp; Perdue's chances with his insane #TrumpRally, let's help Warnock &amp; Ossoff WIN!

We're…",0
1335572519697358850,RT @donwinslow: Watching @JudgeJeanine who is truly batshit nuts tear down Bill Barr on @FoxNews right now is premium television and follow…,2
1335572519848452102,"RT @catturd2: STOP THE STEAL !!!

“Your governor could stop it easy - if he knew what the hell he was doing.”

- President Trump",0
1335572519873613825,"RT @ChelseaFC: MOTM tonight? 

Vote now! 🗳 #CHELEE",2
1335572520011894785,Over under on how many of these went to Biden? https://t.co/ko2Tve6wdO,0
1335572520045604864,RT @jjauthor: President Trump won all 50 states. #sundayvibes #cnnsotu #SundayMorning https://t.co/qtS9WRnw8Y,0
1335572520083177474,"RT @nits_khushi: I vote #surbhichandna for naagin5 
#TVPersonalityWithRajBaddhan 
@SabrasRadio
 
@BizAsia
 
@RajBaddhan  fingers crossed fo…",1
1335572520234229766,"RT @STRAYKlD8: Upon researching &amp; talking to those who watched Queendom, they say this is a friendlier competition, but *elimination is pos…",2
1335572520368529408,@PWACinLA @marklevinshow That’s exactly my point.😉. Republicans are pursuing a dead end legally because there is no submissible evidence. Any lawyer who is authorized to practice before SCOTUS will think twice about submitting bogus claims. This is  all a cash grab by Trump for his next chapter.,2
1335572520402120705,"RT @Thomas1774Paine: South Dakota Gov. Kristi Noem dresses down Joe Biden after he tweets, 'Help is on the way' https://t.co/QaJcBWwVTS",0
1335572520456609795,"RT @ColumbiaBugle: One Of The Most Powerful Moments In @realDonaldTrump Rally History 

“FIGHT FOR TRUMP! FIGHT FOR TRUMP!” https://t.co/Qn…",0
1335572520460759040,"RT @ChuckCallesto: BREAKING REPORT: China Whistle-blower with Royal Ancestry Steps Forward – Reveals VIDEO, PHOTO'S OF ALLEGED CHINESE COUN…",0
1335572520502759424,RT @FrancesBreedlo5: CNN reports Smartmatic VOTE FRAUD https://t.co/UtGjpaT3xP via @YouTube,2
1335572520624410628,RT @LLinWood: I agree.,0
1335572520662048768,"RT @btsvotingorg: Better to vote here too! Only 17 hours left to vote! 🚨

#2 (↓) TMA Popularity – -7,519 gap

Vote here: https://t.co/8HrnH…",2
1335572520800571399,"RT @progressivepush: Trump's Star Witness From Michigan Hearing Has A Rap Sheet, And We Don't Mean Music | Crooks and Liars https://t.co/y4…",2
1335572520804749312,Tuesday Bantama 🤝🏼 https://t.co/MJv85qBZYP,2
1335572520985038849,RT @DeanObeidallah: Last night Trump held a rally to overthrow the 2020 election results and install himself as President. If you read abou…,0
1335572521006018563,RT @PreetBharara: Donald Trump is the greatest hoax ever perpetrated on America,0
1335572521039491075,RT @realDonaldTrump: Great job Dan. People are watching!,0
1335572521127727108,"RT @AngelaBelcamino: ""Fight for Trump"" they chanted... It's over. This ridiculous movement is over. All who endorsed it is over. MAGA is pe…",0
1335572521265946624,"I Vote For for #RheaSharma for Yeh Rishtey Hain Pyaar Ke #TVPersonalityWithRajBaddhan  
@RajBaddhan
 
@SabrasRadio
 
@BizAsia https://t.co/2irxHYnXi6",1
1335572521345806336,"RT @Lowcountry1Girl: Let’s make these PA legislators famous!
#Liars 
#Traitors 
#Cheats",2
1335572521438093315,"RT @Rothbard1776: LIVE: After @realDonaldTrump invited Kelly Loeffler and David Perdue on stage -- The crowd erupted in chants of ""FIGHT FO…",0
1335572521479966720,RT @TeamTrump: President @realDonaldTrump: “If you don’t vote. The socialists and the communists win.” https://t.co/VLhaX0iKKa,0
1335572521479974915,Thank you for your daily tweets. They always make me smile. All is not lost when we stay connected to each other any way we can 😀 https://t.co/k0TunfnaqZ,0
1335572521500995590,@MollyJongFast I would be happy to get behind trump* as My Pillow Guy suggests if those of us behind him are all pushing him out the door.,0
1335572521563824128,"I vote #HellyShah for Ishq Mein Marjawan 2
#TVPersonalityWithRajBaddhan 

@RajBaddhan @BizAsia @SabrasRadio 

Three Hundred Seventy One",1
1335572521832357888,You just can’t make this shit up! https://t.co/ie6YTeIcFt,0
1335572522075615234,"RT @56blackcat: Joe cares.

You can’t fake that.

#VoteJoeBiden  🗳🌊💙 https://t.co/61EehEYrpz",2
